ID,Cons_Frame,Use_Cat,area,storeys,REGION
2,Masonry,Outbuilding,80.7,1,Falealili
6,Masonry,Outbuilding,28.6,1,Lepa
8,Masonry,Outbuilding,27.0,1,Falealili
12,Masonry,Residential,95.2,1,Lepa
24,Masonry,Outbuilding,13.2,1,Lepa
26,Masonry,Outbuilding,135.6,1,Safata
32,Masonry,Residential,102.5,1,Aleipata Itupa i Luga
32,Masonry,Residential,98.9,1,Aleipata Itupa i Lalo
33,Masonry,Hotel,61.9,3,Lepa
49,Masonry,Outbuilding,32.9,1,Aleipata Itupa i Luga
50,Masonry,Outbuilding,80.0,1,Siumu
51,Timber,Outbuilding,38.5,1,Falealili
60,Masonry,Outbuilding,109.7,1,Falealili
65,Masonry,Hotel,63.1,1,Falealili
65,Masonry,Outbuilding,108.6,1,Safata
69,Masonry,Outbuilding,47.3,1,Falealili
72,Masonry,Outbuilding,30.6,1,Vaa o Fonoti
74,Masonry,Residential,41.4,1,Falealili
83,Masonry,Outbuilding,59.6,1,Safata
92,Masonry,Residential,137.2,1,Lepa
95,Masonry,Outbuilding,24.0,1,Aleipata Itupa i Luga
101,Masonry,Residential,203.1,1,Safata
103,Masonry,Hotel,175.5,3,Lepa
108,Masonry,Fale,65.1,1,Siumu
119,Masonry,Outbuilding,54.6,1,Falealili
132,Masonry,Residential,145.3,1,Falealili
133,Masonry,Residential,189.6,1,Falealili
148,Masonry,Residential,90.0,1,Falealili
152,Timber,Tourist Fale,6.6,1,Siumu
154,Masonry,Residential,163.5,1,Safata
177,Masonry,Residential,138.9,1,Aleipata Itupa i Luga
181,Masonry,Residential,194.6,1,Lepa
188,Masonry,Residential,176.6,1,Vaa o Fonoti
200,Masonry,Residential,104.6,1,Vaa o Fonoti
210,Masonry,Residential,222.9,1,Aleipata Itupa i Luga
219,Masonry,Residential,285.6,1,Falealili
220,Masonry,Outbuilding,30.2,1,Lotofaga
221,Masonry,Residential,80.8,1,Vaa o Fonoti
223,Masonry,Residential,151.8,1,Falealili
223,Masonry,Residential,87.3,1,Lepa
224,Masonry,Residential,110.5,1,Siumu
226,Masonry,Residential,173.6,1,Aleipata Itupa i Lalo
239,Masonry,Residential,198.3,1,Vaa o Fonoti
248,Masonry,Commercial,151.4,3,Siumu
257,Masonry,Residential,194.4,1,Safata
263,Masonry,Residential,235.6,1,Safata
266,Masonry,Residential,76.4,1,Lotofaga
268,Masonry,Outbuilding,39.0,1,Falealili
268,Masonry,Residential,175.1,1,Falealili
274,Masonry,Outbuilding,84.8,1,Siumu
276,Masonry,Residential,95.7,1,Siumu
291,Masonry,Residential,87.5,1,Vaa o Fonoti
302,Masonry,Residential,145.4,1,Aleipata Itupa i Lalo
308,Masonry,Residential,188.9,1,Vaa o Fonoti
308,Masonry,Residential,244.4,1,Siumu
308,Masonry,Residential,309.7,1,Safata
310,Timber,Tourist Fale,17.0,1,Aleipata Itupa i Luga
