WKT,ID,Use_Cat,Cons_Frame
POINT (422324.1392684035 8450527.521981074),1360,Outbuilding,Masonry
POINT (422192.23654263915 8450396.489492511),1361,Residential,Masonry
POINT (422204.39138965635 8450380.92939743),1362,Outbuilding,Masonry
POINT (422208.9813466044 8450102.043773355),1607,Residential,Masonry
POINT (422219.40361522196 8450115.30060319),1608,Residential,Masonry
POINT (422221.2998440815 8450100.70213543),1609,Outbuilding,Masonry
POINT (422190.56381308025 8450230.231519686),1610,Residential,Masonry
POINT (422212.4853576672 8450234.422006719),1611,Outbuilding,Masonry
POINT (422228.06515428 8450289.419272268),1612,Residential,Masonry
POINT (422183.91101885855 8450261.01702647),1613,Outbuilding,Masonry
POINT (422190.12025076686 8450292.981740972),1614,Residential,Masonry
POINT (422163.40572104364 8450311.978327792),1615,Residential,Masonry
POINT (422149.08840740536 8450344.669278996),1616,Residential,Masonry
POINT (422133.73049039 8450242.651661135),1617,Residential,Masonry
POINT (422055.8343571915 8450219.383373879),1618,Outbuilding,Masonry
POINT (422044.0312823982 8450353.9803368),1619,Outbuilding,Masonry
POINT (426263.30107094266 8448831.485272575),8138,,
POINT (426834.62130720966 8449085.126388501),5858,,
POINT (427117.59697648505 8449501.203049332),8101,,
POINT (426220.2608070604 8449762.066391554),2449,,
POINT (426945.55108175945 8449380.847666599),4859,,
POINT (426430.5586286869 8449658.112850035),19181,,
POINT (422027.25305627857 8450331.034885908),1620,Outbuilding,Masonry
POINT (422023.7046750701 8450308.64820881),1621,Outbuilding,Masonry
POINT (422224.46078304603 8450590.749679046),10922,,
POINT (422073.9660542388 8450157.083710037),19197,,
POINT (426608.93781403167 8449700.388896044),17846,,
POINT (426252.8788650077 8449826.666027341),6455,,
POINT (426742.12249445217 8449837.436848745),17959,,
POINT (426346.0436279242 8449011.568525525),2154,,
POINT (426085.30270091695 8449365.066309737),1223,,
POINT (426858.25021869293 8449479.288375197),11697,,
POINT (426419.49016418634 8449645.658647304),8988,,
POINT (426836.59031182795 8449069.206887415),6356,,
POINT (422164.59537374665 8450526.87110426),10230,,
POINT (422652.06206492253 8453056.733426895),15920,,
POINT (422614.5847279829 8453078.784614632),18177,,
POINT (422528.03578744986 8453076.462340973),9729,,
POINT (426123.21445446333 8449429.041894393),7179,,
POINT (426228.02928351035 8449750.52693816),18971,,
POINT (427011.3787455094 8449536.03501325),16744,,
POINT (426928.9939741896 8449374.26916977),12607,,
POINT (422534.31922091165 8453204.93830913),19148,,
POINT (422550.03543067526 8453060.931423444),13713,,
POINT (422298.416977559 8451904.307920238),6912,,
POINT (422433.4104728591 8450980.35725185),14351,,
POINT (423957.30845942075 8448424.633870244),3124,Residential,Masonry
POINT (423910.6973766878 8448566.008006662),16798,Residential,Masonry
POINT (423992.75912464753 8448667.251531778),19773,Residential,Masonry
POINT (423954.82741519064 8448449.725135906),4667,Residential,Masonry
POINT (426083.7775988392 8449388.93294065),13861,,
POINT (426847.27774005354 8449491.753031136),6340,,
POINT (426276.878206364 8449649.39979108),7462,,
POINT (426346.9588826489 8449511.233147655),8250,,
POINT (426994.3257421393 8449539.686735006),3635,,
POINT (426481.33946378354 8449647.799770193),19932,,
POINT (426129.34789875353 8449400.276587296),15214,,
