ID,Use_Cat,Cons_Frame,lat,long
1610,Residential,Masonry,-14.01740536257795,-171.7205566517351
1609,Outbuilding,Masonry,-14.018577318447557,-171.72027568834153
1614,Residential,Masonry,-14.016838008974906,-171.72055898904915
1615,Residential,Masonry,-14.016665519919313,-171.72080582923437
1616,Residential,Masonry,-14.016369557887204,-171.7209374846784
1617,Residential,Masonry,-14.017291502903143,-171.72108257826565
1618,Outbuilding,Masonry,-14.01749972952439,-171.72180455429532
1619,Outbuilding,Masonry,-14.016282477365497,-171.72191004709526
8138,,,-14.030161131758684,-171.6828803087364
5858,,,-14.02788274459712,-171.6775828049144
8101,,,-14.024128171487714,-171.67495130209556
2449,,,-14.02174631500743,-171.68325397937315
1612,Residential,Masonry,-14.016871263003534,-171.72020772012698
1613,Outbuilding,Masonry,-14.01712683941468,-171.72061738819386
4859,,,-14.025211900001405,-171.67654770000013
19181,,,-14.022691680172077,-171.6813093403228
10922,,,-14.01414675513087,-171.72023260137436
19197,,,-14.01806349733718,-171.72163841464436
1620,Outbuilding,Masonry,-14.016489470219309,-171.72206606141296
1621,Outbuilding,Masonry,-14.016691776110159,-171.72209955213378
17846,,,-14.02231408953463,-171.67965636982862
6455,,,-14.021163100002772,-171.68295020000033
1360,Outbuilding,Masonry,-14.014721155563834,-171.71931137049174
18177,,,-13.99166243642057,-171.7165503761566
8988,,,-14.022803994439021,-171.68141216999646
6356,,,-14.028026729257627,-171.6775649935233
10230,,,-14.014722650003748,-171.7207887500033
15920,,,-13.991862832046406,-171.7162039910416
17959,,,-14.021078450003783,-171.67841940000096
2154,,,-14.02853509999994,-171.68210924999696
1223,,,-14.025332195012892,-171.6845143697284
11697,,,-14.024319603574734,-171.67735352996633
9729,,,-13.991681065196145,-171.71735179675457
7179,,,-14.024754762886031,-171.68416157719767
18971,,,-14.021850850000572,-171.68318234999958
6912,,,-14.002272550004967,-171.71951079999388
19773,Residential,Masonry,-14.031585783922445,-171.70391136437874
4667,Residential,Masonry,-14.03355148036398,-171.70426863943345
13861,,,-14.025116369019218,-171.68452785282594
6340,,,-14.024206622093587,-171.67745480846776
16744,,,-14.023810500000014,-171.6759339999997
12607,,,-14.025270950000198,-171.67670119999735
19148,,,-13.990519648558084,-171.7172900178411
13713,,,-13.991822086796995,-171.71714853754776
14351,,,-14.010629950001519,-171.7182867999993
3124,Residential,Masonry,-14.03377840451086,-171.70424635585664
16798,Residential,Masonry,-14.0324989441748,-171.70467410245442
1238,Residential,Masonry,-14.023845617785204,-171.6991383433653
7462,,,-14.02276645000223,-171.68273270000046
8250,,,-14.02401748962864,-171.68208742287035
3635,,,-14.023777042675116,-171.67609182017821
19932,,,-14.022786246694698,-171.68083936948776
15214,,,-14.02501500000093,-171.68410555000014
4922,,,-14.023205000006286,-171.68040510000165
16001,Residential,Masonry,-14.029784085968515,-171.7027539070877
1231,Residential,Masonry,-14.02578137118659,-171.6979620999825
1239,Outbuilding,Masonry,-14.023481389152922,-171.6986213568202
345,,,-14.023590949999578,-171.68153534999928
1036,,,-14.024927000001144,-171.6820837000003
15803,,,-14.02487231749718,-171.68409318492135
15830,,,-14.022038343247079,-171.67986512021562
1760,,,-14.020259724890957,-171.67877103845083
11021,,,-14.025462750001108,-171.67675075000054
11163,,,-14.024507088202721,-171.6835654206998
1232,Outbuilding,Masonry,-14.025599202543825,-171.6979408751713
1235,Outbuilding,Masonry,-14.024282863117799,-171.6981931418653
1236,Residential,Masonry,-14.024289047927098,-171.69865286963238
1237,Outbuilding,Masonry,-14.022275452552584,-171.69854772811422
1246,Residential,Masonry,-14.020614237084802,-171.69976855012612
1247,Residential,Masonry,-14.020667769714267,-171.7001482342994
7064,,,-14.023693450000856,-171.6758790499959
19885,,,-14.022907250003291,-171.6802550999994
6508,,,-14.024026399999222,-171.67478779999334
17854,,,-14.024482850001121,-171.68365830000008
1240,Residential,Masonry,-14.023342981955093,-171.69927146149644
1241,Residential,Masonry,-14.02330219295825,-171.69940526946
1242,Outbuilding,Masonry,-14.023540422308468,-171.69928779564398
1243,Outbuilding,Masonry,-14.02248370090375,-171.69908704788406
1244,Outbuilding,Masonry,-14.022386298205207,-171.69955142387806
1245,Outbuilding,Masonry,-14.021299920132984,-171.69958869327127
18528,,,-14.024418779845204,-171.67617259190925
4538,,,-14.025741790417438,-171.67685577778002
19225,,,-14.02525770814812,-171.67377247951336
3325,,,-14.021016347160282,-171.6783253723454
431,,,-14.027109300004874,-171.68116390000188
13976,,,-14.020842255134577,-171.6784493790564
15679,,,-14.023627100000576,-171.67601259999927
18351,,,-14.025236145906328,-171.68447281957083
1362,Outbuilding,Masonry,-14.016043243840324,-171.7204243582064
1254,Residential,Masonry,-14.024824598880306,-171.70039671721932
1255,Residential,Masonry,-14.024401395325382,-171.6999492864214
1256,Outbuilding,Masonry,-14.024981990583681,-171.69993216125906
1257,Residential,Masonry,-14.02489595161681,-171.69980101131043
1258,Residential,Masonry,-14.024897444833774,-171.69949079740766
1259,Outbuilding,Masonry,-14.024769393275866,-171.69949263936752
1260,Outbuilding,Masonry,-14.024626565253927,-171.69946204828466
9069,,,-14.024493508338129,-171.67612467989747
12912,,,-14.026731650000805,-171.6817898999934
11101,,,-14.023479170107814,-171.6760153088602
2863,,,-14.020208950006396,-171.67889715000427
11271,,,-14.023827805128073,-171.6794124757671
16587,,,-14.025493458842368,-171.6785788306852
1264,Outbuilding,Masonry,-14.024782785692997,-171.70240893122468
1265,Outbuilding,Masonry,-14.024752872157675,-171.70252502409704
17633,,,-14.02256342188091,-171.67862155512495
1248,Outbuilding,Masonry,-14.02114187259686,-171.70005413830603
1249,Outbuilding,Masonry,-14.021330179428114,-171.7000347777616
1250,Residential,Masonry,-14.02303435560476,-171.70038894009622
1251,Residential,Masonry,-14.023523694367535,-171.70048678803613
1252,Outbuilding,Masonry,-14.024148839834854,-171.70062476584786
1253,Residential,Masonry,-14.024519371320912,-171.70031217762585
1310,Outbuilding,Masonry,-14.015813859901566,-171.71053939898897
1266,Outbuilding,Masonry,-14.024608945577468,-171.7025649585128
1267,Outbuilding,Masonry,-14.025225590496213,-171.70370268306712
1268,Residential,Masonry,-14.024012196284268,-171.70349148867496
1269,Outbuilding,Masonry,-14.023858654088457,-171.7034566870783
1270,Outbuilding,Masonry,-14.023124134408283,-171.70361765173473
1271,Residential,Masonry,-14.022036380853695,-171.7045162205367
1272,Outbuilding,Masonry,-14.022275387818015,-171.70445568782637
1273,Outbuilding,Masonry,-14.021936224685891,-171.70323047781514
1274,Residential,Masonry,-14.021761234532185,-171.70311084490905
1275,Residential,Masonry,-14.021059975388532,-171.70297746299582
1276,Residential,Masonry,-14.02159462003744,-171.70303132970287
1277,Residential,Masonry,-14.021315412035447,-171.7044412314613
19679,,,-14.032679350004443,-171.6323235500002
17720,,,-14.03201656919193,-171.6294085648525
16231,,,-14.029271955049179,-171.62762677264874
2278,,,-14.03053162629763,-171.62810335486455
1262,Outbuilding,Masonry,-14.02541730764769,-171.69859660964053
1263,Residential,Masonry,-14.024951250027891,-171.70250940150711
12933,,,-14.023921750000373,-171.67802319999694
16671,,,-14.02450710000122,-171.6758467500003
7848,,,-14.024405699998074,-171.6760007999912
7257,,,-14.025818600002637,-171.677062100002
14314,,,-14.025110726212054,-171.68464245883388
14372,,,-14.025174461881935,-171.68154492802654
1608,Residential,Masonry,-14.018445277626444,-171.72029283584305
16629,,,-14.023791850005495,-171.68025815000178
4573,,,-14.026758399999972,-171.67749209999877
1296,Outbuilding,Masonry,-14.02491353029883,-171.70767769135568
1297,Residential,Masonry,-14.025091535165734,-171.7080048597291
1298,Outbuilding,Masonry,-14.024841945100366,-171.70822608527175
1299,Residential,Masonry,-14.024520561903001,-171.70873902191212
1300,Outbuilding,Masonry,-14.024441160209298,-171.70867877711038
1301,Residential,Masonry,-14.02436293860852,-171.7089758497191
1302,Residential,Masonry,-14.024045065645838,-171.70932212979773
